Time,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Label
Mon Sep 24 16:37:56 2018,-0.341,-0.553,-0.815,9.476,21.744,-16.159,37.04,31.165,-51.837,0
Mon Sep 24 16:37:57 2018,-0.177,-0.562,-0.895,17.967,-72.243,23.285,34.679,30.248,-52.362,1
Mon Sep 24 16:37:57 2018,-0.163,-0.257,-0.887,28.191,23.254,8.331,36.313,30.432,-51.837,1
Mon Sep 24 16:37:57 2018,-0.194,-0.652,-0.824,-8.438,42,-45.227,34.679,30.982,-51.311,0
Mon Sep 24 16:37:57 2018,-0.143,-0.428,-0.93,-14.175,59.647,-26.573,35.224,31.165,-51.136,0
Mon Sep 24 16:37:58 2018,-0.201,-0.647,-0.935,28.816,20.752,12.291,35.95,30.065,-51.837,1
Mon Sep 24 16:37:58 2018,-0.184,-0.863,-0.94,-24.3,-21.332,34.241,34.135,32.265,-51.486,1
Mon Sep 24 16:37:58 2018,-0.375,-0.17,-0.974,8.148,69.679,24.643,33.771,31.532,-57.09,1
Mon Sep 24 16:37:58 2018,-0.238,-0.542,-0.977,14.572,71.922,30.922,23.785,29.515,-64.271,0
Mon Sep 24 16:37:59 2018,-0.2,-1.11,-0.734,-55.389,129.761,8.736,15.796,24.382,-68.824,0
Mon Sep 24 16:37:59 2018,-0.237,-0.623,-0.901,19.958,-7.187,-58.258,16.886,27.315,-69.874,1
Mon Sep 24 16:37:59 2018,-0.219,-0.384,-0.696,56,0.984,6.691,14.162,30.432,-67.248,1
Mon Sep 24 16:37:59 2018,-0.233,-0.573,-0.89,18.753,10.254,-60.425,13.254,31.715,-67.773,2
Mon Sep 24 16:38:00 2018,-0.25,-0.198,-0.838,59.212,34.477,29.488,13.799,30.065,-68.999,1
Mon Sep 24 16:38:00 2018,-0.36,-0.411,-1.027,32.585,5.707,69.267,7.263,19.432,-70.75,1
Mon Sep 24 16:38:00 2018,-0.405,-0.531,-0.746,-7.668,-51.186,-9.628,7.081,15.216,-72.326,2
Mon Sep 24 16:38:00 2018,-0.191,-0.553,-0.863,-10.307,6.729,9.903,4.902,17.416,-70.575,1
Mon Sep 24 16:38:01 2018,-0.265,-0.139,-0.963,3.525,-11.658,7.057,6.718,12.283,-69.874,2
Mon Sep 24 16:38:01 2018,-0.333,-0.498,-0.823,-7.309,-6.21,-6.783,5.81,12.099,-69.699,1
Mon Sep 24 16:38:01 2018,-0.29,-0.746,-0.949,-15.694,8.308,5.737,6.718,16.316,-68.123,1
Mon Sep 24 16:38:01 2018,-0.352,-0.38,-0.87,6.699,15.19,0.32,6.536,13.933,-71.451,0
Mon Sep 24 16:38:02 2018,-0.177,-0.408,-0.867,5.508,-30.281,7.851,7.807,16.316,-70.575,0
Mon Sep 24 16:38:02 2018,-0.397,-0.111,-0.978,-4.021,-84.839,37.59,5.265,17.049,-71.275,2
Mon Sep 24 16:38:02 2018,-0.08,-0.463,-0.948,15.106,-1.19,31.578,5.629,21.449,-70.225,2
Mon Sep 24 16:38:02 2018,-0.118,-0.706,-0.94,13.741,6.76,-3.479,5.629,15.949,-71.976,2
Mon Sep 24 16:38:03 2018,-0.178,-0.724,-0.967,-16.594,-1.259,15.305,4.721,14.299,-72.151,2
Mon Sep 24 16:38:03 2018,-0.316,-0.662,-0.844,7.988,22.682,-18.41,4.539,12.649,-70.925,2
Mon Sep 24 16:38:03 2018,-0.262,-0.611,-0.911,21.927,-3.227,18.623,5.992,11.916,-70.575,2
Mon Sep 24 16:38:03 2018,-0.296,-0.527,-0.867,25.551,-9.949,-8.102,5.992,13.383,-70.925,2
Mon Sep 24 16:38:04 2018,-0.198,-0.681,-0.814,4.501,103.455,-52.933,4.358,13.933,-73.202,2
Mon Sep 24 16:38:04 2018,0.086,-0.782,-1.065,-34.973,-188.156,114.326,3.45,14.116,-73.027,1
Mon Sep 24 16:38:04 2018,-0.244,-0.427,-0.791,4.929,2.541,6.195,5.629,18.149,-76.529,1
Mon Sep 24 16:38:04 2018,-0.42,-0.467,-1.05,-0.214,-22.27,6.554,5.81,15.766,-77.755,1
Mon Sep 24 16:38:05 2018,-0.146,-0.561,-0.915,11.642,-9.796,13.557,8.352,16.866,-76.704,2
Mon Sep 24 16:38:05 2018,-0.162,-0.529,-0.956,17.403,5.386,-0.435,11.62,16.499,-77.055,1
Mon Sep 24 16:38:05 2018,-0.264,-0.423,-0.999,5.066,-14.809,4.471,11.439,17.049,-75.829,2
Mon Sep 24 16:38:05 2018,-0.109,-0.353,-0.876,-1.198,25.97,-10.62,11.62,16.866,-74.953,1
Mon Sep 24 16:38:06 2018,-0.266,-0.541,-0.868,9.666,1.228,-7.454,11.62,17.232,-73.202,2
Mon Sep 24 16:38:06 2018,-0.17,-0.373,-0.916,0.87,0.854,31.433,10.531,17.599,-76.354,2
Mon Sep 24 16:38:06 2018,-0.309,-0.461,-0.934,-13.893,20.737,30.815,7.081,13.383,-77.58,1
Mon Sep 24 16:38:06 2018,-0.258,-0.607,-1.045,-9.277,-9.27,76.645,7.444,7.15,-81.433,2
Mon Sep 24 16:38:07 2018,-0.291,-0.543,-0.978,28.099,3.357,73.967,6.355,-3.483,-80.032,1
Mon Sep 24 16:38:07 2018,0.008,-0.845,-1.093,94.368,16.586,44.296,11.62,-12.099,-76.004,2
Mon Sep 24 16:38:07 2018,-0.082,-0.211,-1.031,-9.056,153.519,2.251,17.249,-18.516,-71.626,1
